gerogeroR,IiyamaAkari,mjauemi,nippon_ukuraina,OKB1917,nvkePqkpk5P3Y50,Gurenko_Andrii,MichitoTsuruoka,Sz73B,ozawa_jimusho,jda1BekUDve1ccx,kamipapa_ro,FIFI_Egypt,KunisueNorito,yoniumuhibi,KanAugust,matsudaHI,KadotaRyusho,tezheya,rockfish31,iiduna_yutaka,Narodovlastiye,toshio_tamogami,naoyafujiwara,ichiroaisawa,kazzshi69,airi_deshi_555,rusbureau,mooncave3,soraplaza
1541523939981070336,127196990,1379263624481447939,1476649305679478784,1419841948139982849,1474337317691473920,1535562875888345089,215451633,189660146,3036428562,238542153,1449119534355402754,1541593727994458112,237289916,988749121472249857,1540727675857211398,1381148332177780736,1311975694981713920,14994566,762253321373487104,114226531,2336395266,1530347878472097792,1491947918483689473,1005326407902220290,1394551230592995331,1309382837452201985,131825427,1146517447,362480165
3170733547,1487293246296694786,1233502931858575360,1541372719618752513,997834661937135617,1540920391320817664,1240833979348967424,1497177193520132098,1051042643717709824,1541598668855205888,3093024739,422571301,3186393223,1338979482162483201,2194907077,1378515396332908547,1433375944127832064,1429944394916917271,1473998664,143008579,1253895324050944000,927236398486134784,1268554957776699399,141288842,3956445072,1501261310234816517,100975103,1521305869459230720,126921045,1526225423859716096
1540088898847514624,1480579887161577476,868676913937604608,1517711572537610240,1541472005215596544,416721287,1507542913232039936,1042514364,1282164883,1534715278269255680,1519570322890305536,878580652781690881,1311975694981713920,1583100204,1473996060549087232,1523644246250889216,1024657325578055680,1380612098586071041,1445900070491095040,1342275200646180864,1508250955808395264,1180434939642204160,1533310206414708736,1097304919957065728,741016510278172672,6597642,1530660601059774464,1537036435089661952,97862240,1487634019022180352
1465304332232843264,96288189,1079017430079262720,1497157914150436867,86084320,1476342182558994432,1540551418813497344,110859476,1057578142687084544,1540132416270077955,1155470784153829376,831092810799472640,1038326539568312321,799960742128553984,798478341154082816,1540640506283077632,855175426376843264,1296340263414063106,937526738745049088,1450719449800011776,245437839,1085054633762942976,1343707466303868928,1112574696162115584,1455396107513593857,1281845166534352897,1341826250269081600,1957877124,1172773636677103616,1278148073517133824
1541510425766170624,1537221031194005504,825145115052093440,1539709865915842561,1357641722738561026,1424194132969328648,1541429417380966400,1437745505413459971,40415775,1466026683929358336,2887080529,1167769870785626115,2809666394,1293504763217104897,2972284430,188720669,1203230173966958592,844419792132063234,4711371553,3168329108,4761061,3036428562,1092612649831919621,1541459878027628544,189727924,849216076306984960,1315861136,1068356262,927914918359134210,1414399782789914628
1500883695183740930,598786193,1437316783384367108,1462922914391465991,1309486898281283584,1232485628857573376,1214099953246539776,3305501497,1399313049677299714,4440475753,226467986,2986342933,1486172301624487937,1930363608,164211342,3439014689,3104809483,1533459487742656513,1259613851877691399,1007491965343023104,1427743938782195714,1027949803953709056,991810392446779392,2436510445,1539781511528214529,1094814774142001152,1056561409708838914,4123747754,1487051874683392005,1541540966028283905
1330334792177487877,1535489222877929473,1415958070434308102,1148049006766874625,1528715688185307136,1249143382191902721,1541377484993638400,131479534,1049528720594067456,149134909,1123481224922714112,908478631575396352,1251416611715604481,1521443884857196546,1154043404361162758,1537466826447171584,1145098984895209472,1536577160529559552,3367246212,1537825734378500098,1263551181747412993,589189404,1383005631997636609,1472211157314584582,1210901398662995968,1045382707264385024,1065189762301026304,1282164883,1318531261091082244,1506639651565875202
902749293399990275,1353166188704981085,239313874,1527696746733780992,1126624639311011840,806187705579147264,1060141046431010817,935445678490374144,299157473,137620492,1372520728151486466,1266359288483606528,1431774224369139712,1316028558213476353,1213364566471536640,825304681517707266,1458076262585544710,1519889825972719617,843035549757665281,1462643419348561924,108893638,118738605,1301679585310908416,1541384782143258625,1389587771870699525,1163648089426542593,1524264593149014017,246293319,1541294771485806592,1516923575911198721
1478259758922878978,1268554957776699399,1178176133717585921,1539037716025049088,529152625,1375342429755244545,1527343062,713596540019822592,1516388116852244485,805763317411115008,96693452,880820982914482176,944830449049772033,952899067679395840,2328017802,1540499702554062849,1148901584761475072,721997693585756160,1538058062984282112,4764565884,199425416,787521210313605121,3020910314,1512252221450498048,840891977075896321,915543775283257345,1513126992626872321,314943204,1517403350764904448,132056668
1213789285440086020,1313763126,1259765976872054784,1541078425653616640,96930865,1853807348,1508694476776423427,773955945651138560,1470035592088256520,1513322144008392704,2222764976,848164363391324164,1056921481437835264,1496917928155172865,1440883249,1520708724427350016,1519297862370267142,1541574082738540546,1308937921508958208,1497051718429061125,822475298654429185,1340284060225040384,843088797671673856,3219548508,189374257,1411931814738890756,1399373410317131778,510052570,1412658967310856194,4849028417
1541043243739398144,338109256,915400090751135745,1537113062112518144,86521584,1540897015353073664,1495109513489563649,1517416217581334529,1060813814898151424,1246371320515801088,2266115426,1300375677128986624,464679676,500816276,1403558661910253573,1463271654683934721,1513384688966021127,1287592076377374720,1137142333588135936,1291908542237089792,1504757982160056326,1435882878525587461,1296189884667846656,1183509702975475715,1539566531021271040,927880272376246273,340904005,1456279833344835584,1531260936858013696,741876948909985792
747928195,1533310206414708736,1197014714913456128,1292800757993885696,734230597799796737,1160828560027688960,606488656,83102546,1338601625888280576,95779617,224209226,1533407066299445248,1155470784153829376,1396097234790281222,1507992516133801984,1152218469120659457,1075450179740934145,1480579887161577476,1099959418928607239,933108210789167104,3221949440,1361619150267801605,249216286,1480355046554750978,1455699690817613828,1524526791452291073,1497931857228632066,66108466,1528036878485954560,2723876258
1486976582866857984,1495314247219175427,151070493,1478259758922878978,449761262,2464406136,1540916917392642049,1147332001306947585,714968697551454208,215877919,1301751626219151360,108876248,1271712109064122368,568137318,1264507229341773824,1508569612702478336,1279790959492886528,4801198634,815946708668428289,149699339,1530153071938260993,1158951466960187393,1490340646217199623,1541416753133019136,1498545569127866369,157321245,306781366,1308534929265885185,1202007183841357824,3990110000
1247814262199738369,1541183384927358977,2689000207,2919329294,1409525917353795594,1451430286101671938,1540953216187510786,1533878671957962752,1371679304287883265,1442697262606417927,566064283,984436029372358656,1242679342846615552,78468297,1335259327767085056,1540447694522486784,984475324342824960,1541337782588542976,1428531076947857411,96694082,898463902605778944,1474230204495437824,1541540966028283905,1523088462316204032,1091878449201856512,3016883725,1249215147945541634,1514411107888562177,1541077838111330305,1436319257759928323
707403148919320577,109420962,1537691147924930560,1540002273740263424,2590555321,1428205013839482884,1115586831905505280,2568650760,1540941606290763777,1538856955531644928,1474728365978697732,1401891187007524867,2892794384,95333458,1541249575129710592,840171177049899010,1252366662915043328,1491556746456104960,892540800,3284961259,1538117711687225351,14094495,1439161993869496326,1541230710761000962,1519760197,1414477293829820416,1540842919246155776,63338679,1527496767175938049,1340005404177121280
1509568755646763011,1351893964467539969,1537338374071234560,1539841743595589632,1503713826013089792,1533907751377768448,854302328152743938,1540828764577247233,1096737101087879168,2550313219,349696757,109789826,1480579887161577476,3036415909,1435532020445106178,943462416,1471479457634742273,1535489222877929473,27166202,1541391245498392576,1526155222225080321,1003560320927854592,2780230778,1876554152,981067677635551233,93101689,1541295548149661696,269090221,554219575,1363869733548744715
1468207557110284292,1450721064351252482,1343418880023093248,1540551418813497344,1180717767890100226,1535237744162529281,1424163139533164551,157304366,1114768097066401792,371179569,1413062744635412480,90620775,1459725956,1539271375482806272,1413850773784391690,1342818346547306496,344210081,156520264,2175263028,873311786295898112,1537913915673554944,1529966445777793025,810638840494858241,1538685513405587457,1529837000689582081,212657295,1247344351308427266,1309046928538300416,1248353521780453377,1466481203583008768
1257544750258745349,1358062185805582339,1222532516940115969,1540714952797097984,994764642,1103959082283655170,1541385437503115269,1508708829546041345,847559959843700736,1412165093693919232,1535489222877929473,2772744678,1250821516343693314,944050713625214977,988894370,294601410,1310442687233888261,1454966447860420618,1459675176103460865,1318022364,1173947123034804224,172788899,1407269260863315969,1193185887661613057,1357251149141659650,776217308,1541335895323774977,1523267091750481920,16505864,948949168051007490
